DATE,LES1252881600Q
1981-01-01,314
1981-04-01,311
1981-07-01,309
1981-10-01,312
1982-01-01,312
1982-04-01,314
1982-07-01,311
1982-10-01,313
1983-01-01,315
1983-04-01,314
1983-07-01,315
1983-10-01,312
1984-01-01,313
1984-04-01,312
1984-07-01,313
1984-10-01,316
1985-01-01,314
1985-04-01,323
1985-07-01,320
1985-10-01,320
1986-01-01,321
1986-04-01,328
1986-07-01,328
1986-10-01,331
1987-01-01,328
1987-04-01,328
1987-07-01,330
1987-10-01,328
1988-01-01,329
1988-04-01,325
1988-07-01,325
1988-10-01,324
1989-01-01,323
1989-04-01,322
1989-07-01,322
1989-10-01,322
1990-01-01,319
1990-04-01,319
1990-07-01,313
1990-10-01,312
1991-01-01,316
1991-04-01,312
1991-07-01,312
1991-10-01,313
1992-01-01,315
1992-04-01,313
1992-07-01,314
1992-10-01,312
1993-01-01,315
1993-04-01,317
1993-07-01,319
1993-10-01,319
1994-01-01,316
1994-04-01,317
1994-07-01,314
1994-10-01,314
1995-01-01,313
1995-04-01,314
1995-07-01,317
1995-10-01,313
1996-01-01,312
1996-04-01,312
1996-07-01,314
1996-10-01,313
1997-01-01,313
1997-04-01,314
1997-07-01,314
1997-10-01,314
1998-01-01,319
1998-04-01,319
1998-07-01,321
1998-10-01,328
1999-01-01,324
1999-04-01,329
1999-07-01,330
1999-10-01,335
2000-01-01,334
2000-04-01,334
2000-07-01,335
2000-10-01,334
2001-01-01,333
2001-04-01,336
2001-07-01,338
2001-10-01,340
2002-01-01,341
2002-04-01,339
2002-07-01,337
2002-10-01,336
2003-01-01,335
2003-04-01,338
2003-07-01,337
2003-10-01,337
2004-01-01,337
2004-04-01,341
2004-07-01,335
2004-10-01,337
2005-01-01,336
